2017-08-17 23:23:02 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-08-17 23:23:02 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-08-17 23:23:02 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2017-08-17 23:23:02 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2017-08-17 23:23:02 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-08-17 23:23:02 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-08-17 23:23:02 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2017-08-17 23:23:02 install coreutils:amd64 <none> 8.21-1ubuntu5
2017-08-17 23:23:02 status half-installed coreutils:amd64 8.21-1ubuntu5
2017-08-17 23:23:02 status unpacked coreutils:amd64 8.21-1ubuntu5
2017-08-17 23:23:02 status unpacked coreutils:amd64 8.21-1ubuntu5
2017-08-17 23:23:02 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2017-08-17 23:23:02 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2017-08-17 23:23:02 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2017-08-17 23:23:02 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2017-08-17 23:23:02 install dash:amd64 <none> 0.5.7-4ubuntu1
2017-08-17 23:23:02 status half-installed dash:amd64 0.5.7-4ubuntu1
2017-08-17 23:23:02 status unpacked dash:amd64 0.5.7-4ubuntu1
2017-08-17 23:23:02 status unpacked dash:amd64 0.5.7-4ubuntu1
2017-08-17 23:23:02 install debconf:all <none> 1.5.51ubuntu2
2017-08-17 23:23:02 status half-installed debconf:all 1.5.51ubuntu2
2017-08-17 23:23:02 status unpacked debconf:all 1.5.51ubuntu2
2017-08-17 23:23:02 status unpacked debconf:all 1.5.51ubuntu2
2017-08-17 23:23:02 install debianutils:amd64 <none> 4.4
2017-08-17 23:23:02 status half-installed debianutils:amd64 4.4
2017-08-17 23:23:02 status unpacked debianutils:amd64 4.4
2017-08-17 23:23:02 status unpacked debianutils:amd64 4.4
2017-08-17 23:23:02 install diffutils:amd64 <none> 1:3.3-1
2017-08-17 23:23:02 status half-installed diffutils:amd64 1:3.3-1
2017-08-17 23:23:02 status unpacked diffutils:amd64 1:3.3-1
2017-08-17 23:23:02 status unpacked diffutils:amd64 1:3.3-1
2017-08-17 23:23:02 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2017-08-17 23:23:02 status half-configured dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 status half-installed dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 status half-installed dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 status unpacked dpkg:amd64 1.17.5ubuntu5
2017-08-17 23:23:02 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2017-08-17 23:23:02 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:02 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:02 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:02 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2017-08-17 23:23:02 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:03 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:03 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:03 install findutils:amd64 <none> 4.4.2-7
2017-08-17 23:23:03 status half-installed findutils:amd64 4.4.2-7
2017-08-17 23:23:03 status unpacked findutils:amd64 4.4.2-7
2017-08-17 23:23:03 status unpacked findutils:amd64 4.4.2-7
2017-08-17 23:23:03 install gcc-4.9-base:amd64 <none> 4.9-20140406-0ubuntu1
2017-08-17 23:23:03 status half-installed gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-08-17 23:23:03 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-08-17 23:23:03 status unpacked gcc-4.9-base:amd64 4.9-20140406-0ubuntu1
2017-08-17 23:23:03 install grep:amd64 <none> 2.16-1
2017-08-17 23:23:03 status half-installed grep:amd64 2.16-1
2017-08-17 23:23:03 status unpacked grep:amd64 2.16-1
2017-08-17 23:23:03 status unpacked grep:amd64 2.16-1
2017-08-17 23:23:03 install gzip:amd64 <none> 1.6-3ubuntu1
2017-08-17 23:23:03 status half-installed gzip:amd64 1.6-3ubuntu1
